[  5] event     0/0     idle 172  event 0    heartbeat 0    I/O 2063 chrUpate 0    | WRITE: 0       | PULSE: 57
[  3] event     0/0     idle 94   event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 111
[ 22] event     0/0     idle 828  event 0    heartbeat 0    I/O 2047 chrUpate 0    | WRITE: 0       | PULSE: 133
[  4] event     0/0     idle 125  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 188
[ 20] event     0/0     idle 797  event 0    heartbeat 0    I/O 516  chrUpate 0    | WRITE: 163     | PULSE: 208
[ 18] event     0/0     idle 687  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 239
[ 25] event     0/0     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 264
[ 25] event     0/0     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 289
[ 25] event     0/0     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 314
[ 25] event     0/1     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 339
[ 22] event     0/1     idle 828  event 0    heartbeat 0    I/O 172  chrUpate 0    | WRITE: 425     | PULSE: 364
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 389
[ 26] event     0/1     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 415
[ 25] event     0/1     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 440
[ 25] event     0/1     idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 465
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 490
[ 25] event     0/1     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 515
[ 25] event     0/1     idle 1016 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 540
