[  1] event     0/1     idle 0    event 0    heartbeat 0    I/O 2047 chrUpate 0    | WRITE: 0       | PULSE: 93
[ 16] event     0/1     idle 594  event 0    heartbeat 0    I/O 516  chrUpate 0    | WRITE: 196     | PULSE: 160
[ 11] event     0/55    idle 406  event 0    heartbeat 0    I/O 105312 chrUpate 0    | WRITE: 13      | PULSE: 184
[ 25] event     0/55    idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 420     | PULSE: 958
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 983
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1008
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1033
[ 25] event     0/55    idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1058
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1083
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1108
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1133
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1158
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1183
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1208
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1233
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1258
[ 26] event     0/55    idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1284
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1309
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1334
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1359
[ 25] event     0/55    idle 969  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1384
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1409
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1434
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1459
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1484
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1509
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1534
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1559
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1584
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1609
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1634
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1659
[ 25] event     2/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1684
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1709
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1734
[ 26] event     2/55    idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1760
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1785
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1810
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1835
[ 25] event     0/55    idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1860
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1885
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1910
[ 25] event     2/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1935
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1960
[ 25] event     2/55    idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 1985
[ 26] event     1/55    idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2011
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2036
[ 25] event     1/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2061
[ 25] event     2/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2086
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2111
[ 25] event     0/55    idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2136
[ 25] event     0/55    idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 13      | PULSE: 2161
